"filename", "language", "JavaScript", "CSS", "vue", "XML", "comment", "blank", "total"
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\App.vue", "vue", 0, 0, 8, 0, 0, 4, 12
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\api\competition.js", "JavaScript", 25, 0, 0, 0, 0, 4, 29
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\api\header.js", "JavaScript", 7, 0, 0, 0, 1, 1, 9
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\api\home.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\api\myProblem.js", "JavaScript", 75, 0, 0, 0, 8, 1, 84
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\api\problem.js", "JavaScript", 14, 0, 0, 0, 1, 4, 19
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\api\solution.js", "JavaScript", 30, 0, 0, 0, 3, 3, 36
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\api\store.js", "JavaScript", 10, 0, 0, 0, 1, 1, 12
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\api\user.js", "JavaScript", 15, 0, 0, 0, 2, 2, 19
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\api\workingArea.js", "JavaScript", 28, 0, 0, 0, 3, 1, 32
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsBackpackOutlineRounded.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsBarChartRounded.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsClarifyOutlineRounded.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsContractEditRounded.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsExitToAppRounded.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsInfoOutlineRounded.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsMarkChatReadOutlineRounded.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsMarkdownCopyOutlineRounded.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsMilitaryTechOutlineRounded.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsRewardedAdsOutlineRounded.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsTerminalRounded.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsTollOutlineRounded.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsTrophyOutline.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsVerifiedOutline.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\components\Header.vue", "vue", 0, 0, 374, 0, 0, 7, 381
